celltype	celltype_medium	celltype_broad	celltype_heatmap_anno	sum_type
B_cells	B_cells	B_cells	B_cells	B/Plasma_cells
cDC_1	cDC_1	cDC	Dendritic_cells	Dendritic_cells
cDC_2	cDC_2	cDC	Dendritic_cells	Dendritic_cells
Eccrine_sweat_gland	Eccrine_sweat_gland	Eccrine_sweat_gland	Glandular_cells	Glandular_cells
Fb_1	Fb_1	Fb	Fibroblasts	Fibroblasts
Fb_2	Fb_2	Fb	Fibroblasts	Fibroblasts
Fb_3	Fb_3	Fb	Fibroblasts	Fibroblasts
Kc_postmit_1	Kc_postmit	Kc	Keratinocytes	Keratinocytes
Kc_postmit_2	Kc_postmit	Kc	Keratinocytes	Keratinocytes
Kc_postmit_3	Kc_postmit	Kc	Keratinocytes	Keratinocytes
Kc_postmit_4	Kc_postmit	Kc	Keratinocytes	Keratinocytes
Kc_premit	Kc_premit	Kc	Keratinocytes	Keratinocytes
LE	LE	LE	Endothelial_cells	Endothelial_cells
Mac	Mac	Mac	Macrophages	Macrophages
Mast_cells	Mast_cells	Mast_cells	Mast_cells	Mast_cells
Mel_nc-like	Mel_nc-like	Mel	Mel_nc-like	Melanocytic_cells
Mel_trans	Mel_trans	Mel	Mel_trans	Melanocytic_cells
Mel_trans-melan_c1	Mel_trans_melan	Mel	Mel_trans_melan	Melanocytic_cells
Mel_trans-melan_c2	Mel_trans_melan	Mel	Mel_trans_melan	Melanocytic_cells
Mel_trans-melan_c3	Mel_trans_melan	Mel	Mel_trans_melan	Melanocytic_cells
Mel_trans-melan_c4	Mel_trans_melan	Mel	Mel_trans_melan	Melanocytic_cells
Mel_trans-melan_c5	Mel_trans_melan	Mel	Mel_trans_melan	Melanocytic_cells
Mel_trans-melan_c6	Mel_trans_melan	Mel	Mel_trans_melan	Melanocytic_cells
Mel_trans-melan_c7	Mel_trans_melan	Mel	Mel_trans_melan	Melanocytic_cells
Mel_trans-melan_c8	Mel_trans_melan	Mel	Mel_trans_melan	Melanocytic_cells
Mel_trans-melan_c9	Mel_trans_melan	Mel	Mel_trans_melan	Melanocytic_cells
NK	NK	NK	NK	T/NK_cells
pDC	pDC	pDC	Dendritic_cells	Dendritic_cells
Pericyte_1	Pericyte_1	Pericyte	Pericytes	Pericytes
Pericyte_2	Pericyte_2	Pericyte	Pericytes	Pericytes
Plasma_cells	Plasma_cells	Plasma_cells	Plasma_cells	B/Plasma_cells
Sebaceous_gland	Sebaceous_gland	Sebaceous_gland	Glandular_cells	Glandular_cells
Tcyt_activated	Tcyt_activated	T	Tcyt_activated	T/NK_cells
Tdp	Tdp	T	Tdp	T/NK_cells
Teff_mem	Teff_mem	T	Teff_mem	T/NK_cells
Treg	Treg	T	Treg	T/NK_cells
VE_1	VE_1	VE	Endothelial_cells	Endothelial_cells
VE_2	VE_2	VE	Endothelial_cells	Endothelial_cells
